-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  22.8199   Longitude 83.2828 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 630.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,1999,316.51,351.49,341.26,353.17,423.12,428.37,417.31,423.11,419.92,403.05,347.81,320.73,378.95
ALLSKY_SFC_LW_DWN,2000,320.15,353.34,343.78,377.9,427.17,440.46,431.34,431.98,421.08,386.89,340.19,314.98,382.46
ALLSKY_SFC_LW_DWN,2001,313.23,343.48,379.0,386.74,429.95,427.92,427.05,425.34,413.16,387.05,350.46,309.34,382.92
ALLSKY_SFC_LW_DWN,2002,321.78,347.12,368.27,391.01,425.48,433.02,424.41,425.06,408.46,370.42,332.45,325.26,381.23
ALLSKY_SFC_LW_DWN,2003,317.45,354.16,367.17,400.96,415.16,435.94,427.08,427.01,421.85,395.32,332.55,316.34,384.35
ALLSKY_SFC_LW_DWN,2004,317.85,323.27,366.19,399.38,431.57,425.56,423.03,423.12,413.36,373.15,326.01,319.59,378.67
ALLSKY_SFC_LW_DWN,2005,334.59,342.15,377.42,384.59,409.04,437.05,425.1,421.95,413.13,387.91,319.62,313.84,380.76
ALLSKY_SFC_LW_DWN,2006,311.88,338.83,373.12,391.45,427.52,428.4,428.45,423.38,412.53,376.16,351.73,321.99,382.32
ALLSKY_SFC_LW_DWN,2007,321.09,342.35,357.1,391.95,425.77,431.43,423.77,423.16,418.3,370.43,341.33,322.1,380.88
ALLSKY_SFC_LW_DWN,2008,323.16,320.07,370.27,379.47,422.34,427.54,424.68,423.84,409.1,377.64,353.22,321.1,379.55
ALLSKY_SFC_LW_DWN,2009,327.84,332.98,367.32,370.34,418.07,437.17,430.62,424.32,413.34,365.44,350.88,325.73,380.59
ALLSKY_SFC_LW_DWN,2010,311.27,344.91,373.73,385.81,426.47,435.64,428.34,424.36,414.6,387.75,368.27,324.26,385.62
ALLSKY_SFC_LW_DWN,2011,308.13,340.73,362.41,394.71,426.84,430.31,424.89,421.74,413.96,373.16,337.66,321.12,379.8
ALLSKY_SFC_LW_DWN,2012,334.69,331.26,351.38,397.21,410.62,437.96,429.17,424.41,413.21,370.13,341.67,319.52,380.18
ALLSKY_SFC_LW_DWN,2013,323.4,342.84,361.29,389.48,415.88,428.61,428.67,421.7,414.16,395.64,336.09,315.66,381.31
ALLSKY_SFC_LW_DWN,2014,329.14,343.38,368.26,389.27,416.08,440.8,430.02,422.23,409.3,380.59,333.2,318.89,381.96
ALLSKY_SFC_LW_DWN,2015,319.56,337.14,368.25,396.24,419.25,434.28,423.62,422.91,409.95,378.93,352.55,339.8,383.76
ALLSKY_SFC_LW_DWN,2016,324.33,363.11,378.48,396.0,430.54,434.92,426.91,422.84,418.89,375.42,333.48,319.25,385.35
ALLSKY_SFC_LW_DWN,2017,325.45,328.57,352.71,379.23,427.87,432.34,423.3,423.81,417.9,393.06,342.68,316.82,380.59
ALLSKY_SFC_LW_DWN,2018,305.01,339.97,361.91,395.96,422.29,427.68,429.51,426.0,411.24,374.57,349.32,323.65,380.76
ALLSKY_SFC_LW_DWN,2019,315.65,340.2,366.32,400.41,419.66,439.02,426.98,425.81,419.57,402.35,355.39,336.55,387.53
ALLSKY_SFC_LW_DWN,2020,329.3,334.66,376.7,390.16,408.82,429.36,426.8,426.84,416.66,394.53,348.91,327.0,384.28
ALLSKY_SFC_LW_DWN,2021,335.75,333.38,368.1,378.57,420.24,426.4,424.73,422.56,418.31,386.85,356.98,327.23,383.54
ALLSKY_SFC_LW_DWN,2022,326.65,328.49,362.08,396.62,431.99,433.24,425.02,420.89,417.91,382.36,325.76,325.79,381.7
